,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,cluster
286,91,v121,64.7638,43.836000000000006,22.6988,19.0204,1.8693,4.345257627663464,1300.0,1277.0,2,6
289,92,v100,21.2162,10.7557,75.7844,48.0766,5.3379,4.658309918780837,1462.0,1430.0,2,6
291,93,v140,72.961,49.1198,24.8975,20.7772,0.75,2.0042385370009583,1748.0,1676.0,2,6
293,94,v112,23.0677,12.3912,73.6541,46.5085,4.9936,3.502827387998844,1733.0,1679.0,2,6
300,96,v10,24.8033,13.3007,85.3573,54.5256,3.0686,2.680087482241818,451.0,383.0,2,6
301,96,v34,85.4252,56.4249,27.7779,22.8826,0.7367,2.416689434390619,449.0,377.0,2,6
304,97,v40,36.5612,23.3585,77.5015,47.7366,0.1782,1.7268701508044266,652.0,582.0,2,6
305,97,v68,82.7697,54.2524,22.1442,18.3095,0.7574,2.341966017420335,692.0,624.0,2,6
310,98,v40,36.5612,23.3585,77.5015,47.7366,0.1782,1.7268701508044266,652.0,582.0,2,6
311,98,v67,68.2758,45.9802,21.5908,18.3779,6.5385,7.070179315372528,648.0,632.0,2,6
313,99,v45,23.7083,12.2298,79.816,49.2782,0.5369,1.9775152991823806,757.0,677.0,2,6
314,99,v68,82.7697,54.2524,22.1442,18.3095,0.7574,2.341966017420335,692.0,624.0,2,6
317,100,v80,68.8587,46.0106,29.2293,23.2446,2.6632,3.5916876986222674,913.0,887.0,2,6
319,100,v301,37.4384,21.8351,87.6773,53.8062,1.4738,2.8267768074462056,942.0,894.0,2,6
320,101,v93,16.3661,6.678999999999999,77.8419,48.0402,2.4865,3.943848123411338,1306.0,1266.0,2,6
321,101,v121,64.7638,43.836000000000006,22.6988,19.0204,1.8693,4.345257627663464,1300.0,1277.0,2,6
324,102,v97,27.7073,15.9826,77.1907,47.0992,1.6025,1.3736495034477558,1423.0,1315.0,2,6
325,102,v127,77.8623,51.5443,27.1128,22.1091,1.2636,2.0972959316119217,1427.0,1366.0,2,6
326,102,v128,73.7418,49.6576,25.1782,20.9245,1.6524,2.2689649965628345,1450.0,1387.0,2,6
329,103,v199,25.2491,14.1907,72.1941,44.8331,4.9423,3.0636210680210563,2547.0,2492.0,2,6
330,103,v229,70.8708,47.6306,15.7043,13.7475,1.7029,2.317415164916664,2555.0,2487.0,2,6
334,104,v212,28.3749,16.9067,68.8068,43.2123,1.9875,2.0920712809453974,2867.0,2815.0,2,6
335,104,v243,65.6704,44.7892,21.1348,17.8699,1.6857,2.9718862260468435,2904.0,2861.0,2,6
