,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,strategy
151,45,v55,28.0763,16.3689,85.8020826713691,53.08913052072294,3.1824,3.8591260303631136,964.0,929.0,2,1
152,45,p301,72.8619,40.7949,62.55448189122268,52.980233200406566,0.44413350470325924,0.9529330488404757,979.0,945.0,1,1
153,46,v84,71.0383,48.0915,25.772400750375724,21.491618239952224,0.2144,1.9426590637147885,1023.0,960.0,2,1
154,46,p301,72.8619,40.7949,62.55448189122268,52.980233200406566,0.44413350470325924,0.9529330488404757,979.0,945.0,1,1
155,46,v330,66.0684,46.5515,56.97648343254844,43.26677741999711,1.0862,1.0286876098993893,974.0,963.0,2,1
156,47,v57,29.2302,17.2828,93.62978289161063,57.546348393348765,3.6498,4.435580395933175,1004.0,972.0,2,1
157,47,p239,54.8056,28.6649,37.80478683250495,39.790881762563174,1.600048711758489,1.2062610518055539,1005.0,972.0,1,1
158,47,p240,54.6402,29.3018,36.95599170152536,38.530443856715955,1.3382498907154823,1.1917212083207913,1006.0,975.0,1,1
159,48,v84,71.0383,48.0915,25.772400750375724,21.491618239952224,0.2144,1.9426590637147885,1023.0,960.0,2,1
160,48,p215,49.7589,40.7404,57.792494463256,25.607740755824906,1.2865708297641447,1.2822313655748132,1016.0,997.0,1,0
161,48,p216,48.5165,40.8072,57.562957144491506,23.831344130935012,1.243298556260724,1.2336425786793104,1020.0,997.0,1,0
162,49,v87,73.87899999999999,49.201,25.697320821193124,21.75014959027753,1.9254,2.3395371795910807,1067.0,1014.0,2,1
163,49,p247,49.1138,27.607,41.100643879534786,41.37823216803639,0.947375115780439,1.4054586054929177,1058.0,1034.0,1,1
164,49,p248,49.1312,28.3101,41.80517817594764,42.22046477085934,0.8207751092717177,1.3969119249508213,1058.0,1037.0,1,1
165,49,p251,42.2895,21.3998,45.438599168960884,44.699247327983734,2.1786972185230327,1.67332663518316,1060.0,1037.0,1,0
166,49,p252,42.4151,22.4572,50.810612535481326,44.800283972576004,1.6450358202786952,1.7630447427858646,1064.0,1041.0,1,0
167,50,v58,28.2125,17.2088,80.92159810649639,50.593913985968314,4.1025,3.3585970812793327,1062.0,1020.0,2,1
168,50,p339,75.4792,54.7293,84.53364850322244,43.23944687059411,1.2220473026851293,1.155277758707242,1063.0,1046.0,1,0
169,51,v89,79.9218,52.9073,19.079450811193894,17.40475299582271,4.9873,4.554470332785757,1110.0,1075.0,2,1
170,51,p314,62.2947,36.9405,55.02109633778214,48.72833870619374,1.577200076084198,1.3892342304186556,1087.0,1074.0,1,0
171,51,p343,59.4955,44.8041,66.93480568329585,32.327133836267855,0.63967174394372,1.0042370704814318,1103.0,1075.0,1,1
172,52,v61,26.9933,16.0174,81.75820335470004,50.6844002009472,5.5662,3.928288696409035,1148.0,1105.0,2,1
173,52,v62,28.2703,16.7137,84.01489860933859,51.58604255532989,5.3603,3.930716901601894,1153.0,1110.0,2,1
174,52,p261,55.775,35.8488,47.115443725383024,45.66587618471807,1.568557458303648,1.3942810266937178,1132.0,1120.0,1,0
175,52,p262,56.0682,36.6817,51.54073950225068,43.587965601958096,1.6395257667996561,1.6332861526331512,1125.0,1121.0,1,0
176,53,v64,29.9987,17.9436,83.00698253779808,51.27143527034909,1.9357,2.9895475005376535,1171.0,1123.0,2,1
177,53,p221,38.7394,34.6058,45.94825297413104,14.49751964749133,1.2341461542297167,1.5477355813850837,1155.0,1130.0,1,1
178,54,v65,17.9994,7.8073,82.07539019812556,51.113711859820945,5.7964,4.975885706355134,1177.0,1144.0,2,1
179,54,p317,66.2186,36.4838,65.14260770428791,54.87736676832019,0.7923043417778297,1.2611688944092907,1186.0,1161.0,1,1
180,55,v90,75.736,49.7207,18.906038655934097,16.853371337359526,4.0355,3.551410320891749,1127.0,1083.0,2,1
181,55,p344,57.4153,42.7911,61.32414857274546,30.837639214711515,0.8291097936944178,0.9122492285722856,1128.0,1106.0,1,1
182,56,v59,23.0711,12.6614,83.10767279390049,51.68345757820878,4.1558,3.9274627866430682,1110.0,1071.0,2,1
183,56,p340,57.6628,43.6104,66.4228855428768,30.571710122861816,0.9874926835171995,0.9929782597548344,1094.0,1071.0,1,1
184,56,p343,59.4955,44.8041,66.93480568329585,32.327133836267855,0.63967174394372,1.0042370704814318,1103.0,1075.0,1,1
185,57,v91,75.5565,50.0972,21.609384961705736,18.56838344863401,0.9456,2.2243835865168875,1157.0,1093.0,2,1
186,57,p260,56.1623,35.5627,52.04935810913525,43.770796900087205,1.092949221144331,1.3268399205344237,1119.0,1113.0,1,0
187,57,p344,57.4153,42.7911,61.32414857274546,30.837639214711515,0.8291097936944178,0.9122492285722856,1128.0,1106.0,1,1
188,58,v78,67.8532,45.5063,21.576662665015967,19.28358373904389,2.4666,2.824270809739384,883.0,841.0,2,1
189,58,p294,64.516,36.0992,55.89587713668856,49.42213718287886,0.6811496531600086,1.109093022231142,864.0,822.0,1,1
190,58,p326,58.9668,44.8667,66.89958220023189,30.46440017964604,0.7627347900810608,1.151832528582132,873.0,847.0,1,1
191,58,p328,57.7143,44.2127,66.06622678865841,29.70830550151782,0.7979026319044198,1.0773797581383262,874.0,846.0,1,1
192,59,v85,71.8303,47.9783,23.723108999302227,20.18215253277681,1.0488,3.2956095954813796,1030.0,998.0,2,1
193,59,p217,45.1574,38.4151,41.79505214955284,16.846368807817473,1.2138868645800565,1.466327272365575,1059.0,1003.0,1,1
194,59,p218,44.7376,38.0247,41.99080371805845,17.536638835176255,1.2865719295865272,1.3216769102136525,1059.0,1005.0,1,1
195,60,v57,29.2302,17.2828,93.62978289161063,57.546348393348765,3.6498,4.435580395933175,1004.0,972.0,2,1
196,60,p304,68.60600000000001,39.2625,53.31627839877398,47.19514826198244,1.7821700480032763,1.5162943386781202,1002.0,983.0,1,0
197,60,p305,63.4838,35.0243,54.5472562943431,47.80584627870928,0.9440102382919371,0.9556643895569974,1007.0,982.0,1,1
198,61,v89,79.9218,52.9073,19.079450811193894,17.40475299582271,4.9873,4.554470332785757,1110.0,1075.0,2,1
199,61,p343,59.4955,44.8041,66.93480568329585,32.327133836267855,0.63967174394372,1.0042370704814318,1103.0,1075.0,1,1
200,62,v87,73.87899999999999,49.201,25.697320821193124,21.75014959027753,1.9254,2.3395371795910807,1067.0,1014.0,2,1
